Time,CO2aq_FT,HCO3_FT,CO32_FT,H_FT,OH_FT,NH4_FT,NH3_FT,NO2_FT,Fishweight_FT,Fish_Biomass_FT,CO2aq_B1,HCO3_B1,CO32_B1,H_B1,OH_B1,NH4_B1,NH3_B1,NO2_B1,AOB_B1,NOB_B1,CO2aq_DGS,HCO3_DGS,CO32_DGS,H_DGS,OH_DGS,NH4_DGS,NH3_DGS,NO2_DGS
0.0,0.22675736961451246,1.1473528929683658,0.001,2.5118864315095822e-05,0.0003981071705534969,0.0,0.0,0.0,70.0,36750.0,0.22675736961451246,1.1473528929683658,0.001,2.5118864315095822e-05,0.00031622776601683794,0.0,0.0,0.0,960000.0,480000.0,0.22675736961451246,1.1473528929683658,0.001,2.5118864315095822e-05,0.0003981071705534969,0.0,0.0,0.0
7.969945411086151e-08,0.22675736939958616,1.1473507088104304,0.0010021843808397225,2.7150258668367507e-05,0.00039795396116278965,2.738928570014731e-13,2.7887791416618863e-15,2.8048098625041647e-52,70.00000000000178,36750.00000000093,0.2267573693916868,1.1473507089920165,0.0010021841991750588,2.7204167049094212e-05,0.00031612864675830484,2.30264888589414e-23,2.3445557155143024e-25,4.340377196198018e-32,959999.9999999114,479999.9999999557,0.22675736936431276,1.1473507088104304,0.0010021843808397208,2.715025866838176e-05,0.0003979539611534102,2.2124154433522545e-33,2.252677850904816e-35,4.170291659297603e-42
1.5939890822172302e-07,0.22675736918804526,1.1473485327185784,0.001004360692210781,2.915436903417747e-05,0.00039778154063864376,5.479730624617676e-13,5.390209802995031e-15,1.8391915995294182e-51,70.00000000000355,36750.00000000186,0.2267573691723422,1.14734853330352,0.0010043601070161346,2.9265464886261484e-05,0.0003160138174179666,7.269007323998458e-23,7.242154597743376e-25,1.8425079138313238e-31,959999.9999998228,479999.9999999114,0.22675736911749847,1.1473485327185784,0.001004360692210776,2.915436903421726e-05,0.00039778154061989807,9.5419722783948e-33,9.562666470260412e-35,2.2524408911619177e-41
9.56393449330338e-07,0.22675736733899482,1.1473274225131942,0.0010254728264249668,4.705588264195188e-05,0.0003945689912020432,3.297271589051997e-12,2.2908042535271794e-14,2.5112694967723587e-47,70.00000000002132,36750.00000001119,0.22675736725700638,1.1473274549266652,0.001025440399206841,4.796248914272197e-05,0.0003136286342386451,2.9222847702237055e-21,2.07412828720159e-23,3.880142638621899e-29,959999.9999989372,479999.9999994686,0.22675736691571405,1.1473274225131944,0.001025472826424689,4.705588264368517e-05,0.00039456899109130883,2.8287603506143863e-30,2.0132386152396417e-32,3.733210074274811e-38
1.753387990438953e-06,0.22675736576110853,1.147307000017036,0.0010458969802490876,6.279860845744982e-05,0.00038988590552735885,6.051275396707357e-12,3.572059204653182e-14,1.5146280625558639e-46,70.00000000003908,36750.00000002052,0.22675736562903256,1.1473071036721378,0.0010457932817080915,6.469009090518241e-05,0.00031000172579058867,8.454571020203106e-21,5.386116644867068e-23,1.4454035640990274e-28,959999.9999980517,479999.99999902584,0.22675736498509377,1.147307000017037,0.001045896980248154,6.27986084630384e-05,0.0003898859053271707,1.1392202655759732e-29,7.496318202825537e-32,1.8203308328366323e-37
5.630048887173298e-06,0.2267573607404343,1.1472153062288608,0.0011375961771495006,0.00011985217162171539,0.0003552348630676554,1.946210947784936e-11,8.295705415167957e-14,3.1796892724411193e-44,70.0000000001255,36750.00000006589,0.22675736062729274,1.147216456235144,0.0011364457204383286,0.00012729231038046635,0.00028194678332852025,7.203316947597343e-20,3.7514932558145675e-22,2.9358482899742652e-27,959999.9999937443,479999.99999687215,0.2267573582486865,1.1472153062288772,0.0011375961771328737,0.00011985217168276394,0.00035523486248059514,2.592667886563146e-28,1.5196679577648756e-30,1.1565861843905583e-35
9.506709783907644e-06,0.22675735935483943,1.1471348558255208,0.0012180483541290846,0.00015299170046011816,0.0003079204412894995,3.2896720531423856e-11,1.0641649280636332e-13,1.8293392406041898e-43,70.00000000021191,36750.000000111264,0.22675735971258862,1.1471383155778947,0.001214587292385176,0.00016609120100058534,0.00024260386704728974,1.9925525187832775e-19,8.858346758521948e-22,1.047179993013028e-26,959999.9999894369,479999.99999471847,0.22675735514735867,1.1471348558255847,0.0012180483540650713,0.00015299170062914427,0.00030792044039869044,1.0463322280682673e-27,5.392041023108453e-30,5.464045322448031e-35
1.3383370680641989e-05,0.22675736037353997,1.1470631867707515,0.0012897167782412499,0.0001749756928303581,0.000258236640208018,4.633897734788497e-11,1.2223011673641413e-13,6.267588900470103e-43,70.00000000029833,36750.00000015664,0.2267573616155616,1.1470701816752231,0.0012827192920756426,0.00019259728387272733,0.00020098073708482234,3.912133357616101e-19,1.4898945880275845e-21,2.388259994950286e-26,959999.9999851296,479999.9999925648,0.2267573544503264,1.1470631867709105,0.001289716778081366,0.00017497569314257682,0.0002582366390968614,2.7149444508852422e-27,1.2211575881095353e-29,1.565712487109274e-34
1.8963423182407436e-05,0.22675736488471746,1.146972910179333,0.0013799894170386552,0.0001990570182566604,0.00019204927946361942,6.569153276076451e-11,1.4117540398412055e-13,2.353755797750672e-42,70.00000000042273,36750.000000221946,0.22675736795927512,1.1469866687852257,0.0013662258383495256,0.00022099516878874368,0.00014587982687992544,7.81782735249907e-19,2.4091667282253157e-21,5.412571754378798e-26,959999.9999789295,479999.99998946476,0.2267573564918842,1.1469729101797377,0.0013799894166326128,0.00019905701880422311,0.00019204927817374225,7.346479081409311e-27,2.734293731947069e-29,4.6664977214449254e-34
2.4543475684172884e-05,0.22675737218954112,1.1468962459840815,0.001456646866033508,0.00022239011799907974,0.00013873167647491863,8.504324723900163e-11,1.6096151766082908e-13,6.559431968266133e-42,70.00000000054713,36750.000000287255,0.22675737751072422,1.1469179659130988,0.0014349191590197483,0.00024644561211943823,0.00010264791584175983,1.3075506434990214e-18,3.37030778824695e-21,9.848347985827293e-26,959999.9999727295,479999.99998636474,0.22675736132708843,1.1468962459848777,0.0014566468652354456,0.00022239011878510764,0.00013873167515657432,1.5591884136643502e-26,4.914302933260757e-29,1.0674753863030453e-33
