Time,CO2aq_FT,HCO3_FT,CO32_FT,H_FT,OH_FT,NH4_FT,NH3_FT,NO2_FT,Fishweight_FT,Fish_Biomass_FT,CO2aq_B1,HCO3_B1,CO32_B1,H_B1,OH_B1,NH4_B1,NH3_B1,NO2_B1,AOB_B1,NOB_B1,CO2aq_DGS,HCO3_DGS,CO32_DGS,H_DGS,OH_DGS,NH4_DGS,NH3_DGS,NO2_DGS
0.0,0.22675736961451246,3.2781511227667597,0.001,2.5118864315095822e-05,0.0003981071705534969,0.0,0.0,0.0,70.0,36750.0,0.22675736961451246,3.2781511227667597,0.001,2.5118864315095822e-05,0.00031622776601683794,0.0,0.0,0.0,960000.0,480000.0,0.22675736961451246,3.2781511227667597,0.001,2.5118864315095822e-05,0.0003981071705534969,0.0,0.0,0.0
4.551491132160506e-08,0.2267573695446416,3.27814744811052,0.0010036747306668202,2.8698790472287092e-05,0.00039801229161692104,1.5648618760512509e-13,1.5216717237174366e-15,1.8812719599789975e-53,70.00000000000101,36750.00000000053,0.22675736954016268,3.278147448177949,0.0010036746681610375,2.8731220420598342e-05,0.00031616537967449435,7.513138213843958e-24,7.305766871021101e-26,8.92645297367935e-33,959999.9999999495,479999.99999997474,0.2267573695244976,3.2781474481095176,0.0010036747306668176,2.8698790472291348e-05,0.00039801229161156226,4.122481289471451e-34,4.0086918409145435e-36,4.8979712536593e-43
9.102982264321012e-08,0.22675736948455394,3.278143781627604,0.0010073412782264865,3.225101952963683e-05,0.00039789790847087186,3.131372700171817e-13,2.8784486334891893e-15,1.225854426839971e-52,70.00000000000202,36750.00000000106,0.2267573694756943,3.2781437818423704,0.0010073410732080166,3.2319648775436545e-05,0.0003160873387035615,2.372026971132668e-23,2.2266074333299684e-25,3.7525535041850813e-32,959999.999999899,479999.9999999495,0.22675736944426594,3.2781437816255994,0.0010073412782264785,3.225101952964739e-05,0.0003978979084601592,1.7781458801315594e-33,1.6851886567236395e-35,2.6253005941304344e-42
5.461789358592607e-07,0.2267573696897417,3.278107817208662,0.0010433055375415677,6.548221121759803e-05,0.0003951650004706895,1.8855697589789077e-12,1.0524552272456207e-14,1.4380030445549068e-48,70.00000000001216,36750.00000000639,0.2267573696526984,3.2781078320612456,0.0010432907273341724,6.620093281498594e-05,0.00031401919301498314,9.543151341581552e-22,5.507126139339396e-24,6.810974065566477e-30,959999.9999993932,479999.9999996966,0.22675736944801372,3.2781078171966356,0.001043305537541244,6.548221121822043e-05,0.000395165000407247,5.275472330487673e-31,3.057553628278693e-33,3.7431609019878986e-39
1.0013280490753112e-06,0.22675737075338787,3.278072643611059,0.0010784781170593352,9.626948546636417e-05,0.00039078071328696673,3.4607031291771997e-12,1.5469773971785057e-14,8.523178652680369e-48,70.00000000002231,36750.000000011714,0.22675737071269872,3.2780726947784404,0.0010784270001451535,9.791686284795436e-05,0.0003105999656687189,2.7611442356937668e-21,1.374884515478677e-23,2.466723909764458e-29,959999.9999988875,479999.99999944377,0.22675737031021992,3.2780726435890113,0.0010784781170583644,9.626948546869072e-05,0.0003907807131722116,2.124685793941904e-30,1.1067867602345633e-32,1.7862113708465273e-38
2.8065287482811614e-06,0.22675738163849582,3.277940359537284,0.0012107514864189504,0.00019996546857577586,0.00036221403144613034,9.712181195765288e-12,3.085874741167163e-14,5.056566444716946e-46,70.00000000006256,36750.000000032844,0.22675738192224468,3.2779408919351174,0.0012102188322509007,0.00020678749268164139,0.00028769019007411845,1.8093942481678494e-20,6.600189751486334e-23,2.7176279577197878e-28,959999.9999968817,479999.99999844085,0.22675738039638188,3.2779403594754943,0.0012107514864106873,0.00019996546860212192,0.00036221403114985155,3.1820614050147183e-29,1.2146222956343236e-31,4.526707363195238e-37
4.611729447487012e-06,0.22675740229931343,3.277819739759883,0.0013313507836820288,0.00027848318956277,0.00032015293529407177,1.597060173246323e-11,3.9305239713804214e-14,2.9666467501079216e-45,70.0000000001028,36750.00000005397,0.22675740355095103,3.2778214474031415,0.0013296419338456795,0.0002918691598922914,0.0002533706111206061,4.718285560718709e-20,1.427030305296715e-22,8.864297536192909e-28,959999.9999948759,479999.99999743793,0.2267574002582534,3.277819739658361,0.0013313507836556029,0.00027848318964335473,0.0003201529348573026,1.1967532024971774e-28,3.9395070017800937e-31,2.0421659479309177e-36
6.416930146692862e-06,0.22675743080775865,3.2777102266876352,0.0014408355281562242,0.00034006499006222367,0.0002722783190745311,2.223108428448092e-11,4.5689705463733254e-14,1.0490480212746838e-44,70.00000000014305,36750.0000000751,0.22675743373754467,3.277713952131578,0.0014371072171387863,0.00035996190178134486,0.0002140284833500078,9.029518820954257e-20,2.352074816529717e-22,1.97945681512635e-27,959999.99999287,479999.999996435,0.22675742796775256,3.277710226546396,0.0014408355280952226,0.00034006499022576147,0.0002722783185422472,3.0035774753227864e-28,8.73516822388944e-31,5.8562756766746334e-36
1.0257519601344346e-05,0.2267575121070032,3.277511232217117,0.0016397490838256036,0.00043887175996025333,0.00017225244812160307,3.555687055481602e-11,5.274965277864578e-14,7.277570864209747e-44,70.00000000022867,36750.00000012005,0.22675752067054936,3.2775218944079434,0.0016290784297345,0.00046995633654180224,0.0001321391248535995,2.288484423910312e-19,4.607697062680589e-22,6.159695069323914e-27,959999.9999886027,479999.99999430135,0.22675750756722818,3.2775112319914603,0.0016397490836148692,0.00043887176035853153,0.00017225244751975827,1.1542836783457666e-27,2.6686376573529315e-30,2.752523598791736e-35
1.3082823762121996e-05,0.22675758547230834,3.27739241577744,0.0017584924410321107,0.0005013198161983998,0.00011603022963839016,4.5362862612974726e-11,5.497745584843795e-14,1.930829572755048e-43,70.00000000029165,36750.00000015312,0.22675759960448316,3.2774100479150774,0.0017408462991890042,0.0005365935015299482,8.708770716683516e-05,3.717960480790261e-19,5.974287428326118e-22,1.0680768806050332e-26,959999.9999854635,479999.9999927317,0.22675757968210936,3.2773924154897625,0.0017584924406291679,0.0005013198167842658,0.00011603022908207624,2.355496040504123e-27,4.539352526712077e-30,6.032586506790651e-35
