Time,CO2aq_FT,HCO3_FT,CO32_FT,H_FT,OH_FT,NH4_FT,NH3_FT,NO2_FT,Fishweight_FT,Fish_Biomass_FT,CO2aq_B1,HCO3_B1,CO32_B1,H_B1,OH_B1,NH4_B1,NH3_B1,NO2_B1,AOB_B1,NOB_B1,CO2aq_DGS,HCO3_DGS,CO32_DGS,H_DGS,OH_DGS,NH4_DGS,NH3_DGS,NO2_DGS
0.0,0.22675736961451246,3.2781511227667597,0.001,2.5118864315095822e-05,0.0003981071705534969,0.0,0.0,0.0,70.0,36750.0,0.22675736961451246,3.2781511227667597,0.001,2.5118864315095822e-05,0.00031622776601683794,0.0,0.0,0.0,960000.0,480000.0,0.22675736961451246,3.2781511227667597,0.001,2.5118864315095822e-05,0.0003981071705534969,0.0,0.0,0.0
4.5514877865856446e-08,0.22675736954464162,3.2781474481132156,0.0010036747279708975,2.8698787858460277e-05,0.00039801229169906513,1.564860724665486e-13,1.521670718571677e-15,1.881265185993476e-53,70.00000000000101,36750.00000000053,0.22675736954016273,3.2781474481856527,0.0010036746654652165,2.8731217780561102e-05,0.00031616537967202053,7.513127163336552e-24,7.305756675080773e-26,8.92643395452595e-33,959999.9999999495,479999.99999997474,0.22675736952449765,3.2781474481122133,0.0010036747279708951,2.869878785846453e-05,0.00039801229169370635,4.122472195798506e-34,4.008683299797985e-36,4.897957217545851e-43
9.102975573171289e-08,0.226757369484554,3.2781437816329833,0.0010073412728466506,3.2251014342465265e-05,0.0003978979086636189,3.131370395359648e-13,2.8784468272615296e-15,1.2258500246141886e-52,70.00000000000202,36750.00000000106,0.22675736947569441,3.2781437818577666,0.0010073410678285177,3.231964353046179e-05,0.0003160873385949461,2.3720234819000122e-23,2.2266043715673315e-25,3.752545564635834e-32,959999.999999899,479999.9999999495,0.22675736944426605,3.2781437816309786,0.0010073412728466426,3.2251014342475815e-05,0.0003978979086529062,1.7781419575482156e-33,1.685185091262363e-35,2.6252931014429244e-42
5.461785343902773e-07,0.22675736968974092,3.2781078172398668,0.0010433055063377768,6.548218353693094e-05,0.00039516500399309915,1.8855683700251232e-12,1.0524547501573683e-14,1.4379981405699333e-48,70.00000000001216,36750.00000000639,0.2267573696526977,3.2781078321525277,0.0010432906961509465,6.620090472813976e-05,0.00031401914852013815,9.54313729746814e-22,5.5071195159478035e-24,6.810960853238295e-30,959999.9999993932,479999.9999996966,0.22675736944801317,3.27810781722784,0.0010433055063374533,6.548218353755333e-05,0.0003951650039296566,5.275460689151739e-31,3.057547699132975e-33,3.7431508883195075e-39
1.0013273130488417e-06,0.2267573707533851,3.278072643666949,0.0010784780611715209,9.626943861606125e-05,0.00039078072232179485,3.4607005801391273e-12,1.546976784796964e-14,8.523149738730325e-48,70.00000000002231,36750.000000011714,0.22675737071269603,3.2780726949444534,0.001078426944314847,9.791681570603966e-05,0.00031059987137917487,2.7611401723038524e-21,1.3748829174304623e-23,2.466719196165519e-29,959999.9999988875,479999.99999944377,0.22675737031021748,3.2780726436449013,0.00107847806117055,9.626943861838781e-05,0.0003907807222070396,2.1246811054203725e-30,1.1067846468326362e-32,1.7862066320116674e-38
2.806539024903528e-06,0.22675738163858383,3.2779403588184124,0.001210752205203685,0.00019996599178504482,0.0003622138359576446,9.712216755444905e-12,3.085886366878974e-14,5.056668910387205e-46,70.00000000006256,36750.000000032844,0.2267573819223379,3.277940891531313,0.0012102195447868656,0.00020678806789350954,0.000287689732916081,1.809406907172122e-20,6.600232034066301e-23,2.717655705976847e-28,959999.9999968817,479999.99999844085,0.22675738039646534,3.277940358756622,0.0012107522051954215,0.00019996599181139113,0.0003622138356613642,3.1820972382483495e-29,1.2146346815761908e-31,4.526774960092588e-37
4.611750736758214e-06,0.2267574022996004,3.2778197384065404,0.0013313521367394293,0.0002784840240811171,0.0003201524170398874,1.597067546321084e-11,3.9305416001409363e-14,2.966714843199311e-45,70.0000000001028,36750.00000005397,0.2267574035512603,3.2778214465830593,0.0013296432610958543,0.0002918701342219623,0.00025336971202921795,4.718328290541161e-20,1.4270422740372103e-22,8.864411197496229e-28,959999.9999948759,479999.99999743793,0.22675740025853097,3.277819738305018,0.001331352136713003,0.0002784840241617029,0.0003201524166031153,1.1967697245080127e-28,3.939557272786843e-31,2.0422021236010857e-36
6.4169624486129e-06,0.22675743080832203,3.2777102248279704,0.001440837387260201,0.0003400660104246644,0.00027227748089316873,2.2231196193337124e-11,4.568993474109449e-14,1.0490736184943559e-44,70.00000000014305,36750.0000000751,0.22675743373816232,3.277713951041651,0.0014371090125868775,0.000359963167815253,0.00021402718119802565,9.029608797192232e-20,2.3520966576938073e-22,1.9794846639607663e-27,959999.99999287,479999.999996435,0.22675742796830176,3.277710224686732,0.0014408373871991986,0.00034006601058820477,0.00027227748036088076,3.003622551418069e-28,8.735289991761945e-31,5.8563876557168424e-36
1.0257592078642272e-05,0.2267575121087578,3.2775112288850456,0.0016397524141488398,0.00043887338574418757,0.00017225074532963884,3.5557121880984275e-11,5.274993607740186e-14,7.277815670458367e-44,70.00000000022867,36750.00000012005,0.22675752067250787,3.2775218924532856,0.0016290815112552071,0.0004699584980315154,0.00013213694744747668,2.288516616710317e-19,4.607753707409044e-22,6.159812870251176e-27,959999.9999886027,479999.99999430135,0.22675750756895072,3.277511228659388,0.0016397524139381003,0.0004388733861424738,0.00017225074472778905,1.1543079161809176e-27,2.6686877725258115e-30,2.7525956198751343e-35
1.308289941977869e-05,0.226757585474418,3.2773924128992067,0.0017584953171623065,0.0005013213641538007,0.00011602890356569893,4.536312493480635e-11,5.49777842971871e-14,1.9308810462632573e-43,70.00000000029165,36750.00000015312,0.22675759960690953,3.2774100468651044,0.0017408487865113952,0.0005365957168076928,8.708582568684733e-05,3.7180033822397745e-19,5.974335210906506e-22,1.0680922899838776e-26,959999.9999854635,479999.9999927317,0.22675757968418558,3.277392412611529,0.0017584953167593552,0.0005013213647396777,0.00011602890300938032,2.3555367652201385e-27,4.539415376867588e-30,6.032710263499712e-35
